2026-01-16 22:36:36 | INFO | Processing new/changed documents...
2026-01-16 22:36:36 | INFO | Loading from cache: C:\Users\estev\AppData\Local\Temp\gradio\7acca6da6b2821a8d15bdffaf3e6248ab17c378e4db5d611ad39c07b7f2bceac\DeepSeek Technical Report.pdf
2026-01-16 22:36:36 | INFO | Total unique chunks: 29
2026-01-16 23:31:43 | INFO | Processing new/changed documents...
2026-01-16 23:31:43 | INFO | Loading from cache: C:\Users\estev\AppData\Local\Temp\gradio\7acca6da6b2821a8d15bdffaf3e6248ab17c378e4db5d611ad39c07b7f2bceac\DeepSeek Technical Report.pdf
2026-01-16 23:31:43 | INFO | Total unique chunks: 29
2026-01-17 17:58:42 | INFO | Processing new/changed documents...
2026-01-17 17:58:42 | INFO | Loading from cache: C:\Users\estev\AppData\Local\Temp\gradio\7acca6da6b2821a8d15bdffaf3e6248ab17c378e4db5d611ad39c07b7f2bceac\DeepSeek Technical Report.pdf
2026-01-17 17:58:42 | INFO | Total unique chunks: 29
2026-01-17 22:20:45 | INFO | Processing new/changed documents...
2026-01-17 22:20:45 | INFO | Loading from cache: C:\Users\estev\AppData\Local\Temp\gradio\7acca6da6b2821a8d15bdffaf3e6248ab17c378e4db5d611ad39c07b7f2bceac\DeepSeek Technical Report.pdf
2026-01-17 22:20:45 | INFO | Total unique chunks: 29
2026-01-17 22:23:27 | INFO | Processing new/changed documents...
2026-01-17 22:23:27 | INFO | Processing and caching: C:\Users\estev\AppData\Local\Temp\gradio\7acca6da6b2821a8d15bdffaf3e6248ab17c378e4db5d611ad39c07b7f2bceac\DeepSeek Technical Report.pdf
2026-01-17 22:25:44 | INFO | Total unique chunks: 29
